case_id,bg,position,roi,mode,before_sha256,source_sha256,presentation_sha256,roi_preserved,mapping_ok,expected_cue_px,actual_cue_px,cue_completeness,contrast_value,bound_ok
0,"0,0,0",center,"31,31,1,1",FIXED_GREEN_OUTLINE,f3cc103136423a57975750907ebc1d367e2985ac6338976d4d5a439f50323f4a,ee3377d9071006deaca7cbe53fb6b102ad1181a85faf5109dba42aea170dc041,95e9dd81acd421a1dc8dc2a56c5dccc6d00d4dc26fe53f7f1f84c78b6f36bbd7,1,1,8,8,1.000000000000,15.304000000000,1
0,"0,0,0",center,"31,31,1,1",ADAPTIVE_BW_OUTLINE,f3cc103136423a57975750907ebc1d367e2985ac6338976d4d5a439f50323f4a,ee3377d9071006deaca7cbe53fb6b102ad1181a85faf5109dba42aea170dc041,9e9af5128e865716b0002f94ad50e631e2f2e60593badb905d9025be8177ccc5,1,1,8,8,1.000000000000,21.000000000000,1
0,"0,0,0",center,"31,31,1,1",DUAL_BW_OUTLINE,f3cc103136423a57975750907ebc1d367e2985ac6338976d4d5a439f50323f4a,ee3377d9071006deaca7cbe53fb6b102ad1181a85faf5109dba42aea170dc041,95fc013c70a0790608099898046f66bf9dd965057c22a9ebe61907cae9adfd06,1,1,24,24,1.000000000000,21.000000000000,1
0,"0,0,0",center,"31,31,1,1",PADDED_DUAL_BW_OUTLINE,f3cc103136423a57975750907ebc1d367e2985ac6338976d4d5a439f50323f4a,ee3377d9071006deaca7cbe53fb6b102ad1181a85faf5109dba42aea170dc041,d26a9973c80d47a6d17a35c8aad0064cde3987b02048c6b6e55a62949ca852a8,1,1,24,24,1.000000000000,21.000000000000,1
1,"0,0,0",left,"0,31,1,1",FIXED_GREEN_OUTLINE,f3cc103136423a57975750907ebc1d367e2985ac6338976d4d5a439f50323f4a,127f85f596201951b814b735a370e3273b405e13ccc16262ddc2a47e9b6398c3,eb58eff4e26f208ffe22cb6ba8f0516e959420f576eceec98b3642b452d53764,1,1,8,5,0.625000000000,15.304000000000,1
1,"0,0,0",left,"0,31,1,1",ADAPTIVE_BW_OUTLINE,f3cc103136423a57975750907ebc1d367e2985ac6338976d4d5a439f50323f4a,127f85f596201951b814b735a370e3273b405e13ccc16262ddc2a47e9b6398c3,e6004cf94e623c71fe7d1a3aaf7e480d3c1d1c9861c2bc42f30ef7aa1b1093c8,1,1,8,5,0.625000000000,21.000000000000,1
1,"0,0,0",left,"0,31,1,1",DUAL_BW_OUTLINE,f3cc103136423a57975750907ebc1d367e2985ac6338976d4d5a439f50323f4a,127f85f596201951b814b735a370e3273b405e13ccc16262ddc2a47e9b6398c3,70c43ce76c9cc88793b360cc98fc02e48c3bec3a9cf5701e346123001794ec92,1,1,24,14,0.583333333333,21.000000000000,1
1,"0,0,0",left,"0,31,1,1",PADDED_DUAL_BW_OUTLINE,f3cc103136423a57975750907ebc1d367e2985ac6338976d4d5a439f50323f4a,127f85f596201951b814b735a370e3273b405e13ccc16262ddc2a47e9b6398c3,91c5aa4f1d4f532ffeaafa98dc064fafbad509e563cbda8c18cb33b8a001d496,1,1,24,24,1.000000000000,21.000000000000,1
2,"0,0,0",top,"31,0,1,1",FIXED_GREEN_OUTLINE,f3cc103136423a57975750907ebc1d367e2985ac6338976d4d5a439f50323f4a,80d7b444d6b291f8713cffd4b2305df941eb242c316bd3c5c4884fdea45226e9,5345c4a0bbdf899c0ddd14e6e86ccede5b9dc7dc87ce03ce69044458981eee6b,1,1,8,5,0.625000000000,15.304000000000,1
2,"0,0,0",top,"31,0,1,1",ADAPTIVE_BW_OUTLINE,f3cc103136423a57975750907ebc1d367e2985ac6338976d4d5a439f50323f4a,80d7b444d6b291f8713cffd4b2305df941eb242c316bd3c5c4884fdea45226e9,027ea09041048a079fdc6531b86a8b3fc790654f0fa0023088b74ed27dc8e60e,1,1,8,5,0.625000000000,21.000000000000,1
