id,rep,scenario,policy,reason,applied,task_correct,effect_met,wrong_publication,preserved_on_refusal
r01-wrong_kind-scope_and_postcondition,1,wrong_kind,scope_and_postcondition,postcondition_mismatch,False,True,False,False,True
r01-wrong_kind-scope_only,1,wrong_kind,scope_only,applied,True,False,False,True,False
r01-read_conflict-scope_and_postcondition,1,read_conflict,scope_and_postcondition,read_conflict,False,True,False,False,True
r01-read_conflict-scope_only,1,read_conflict,scope_only,read_conflict,False,True,False,False,True
r01-unrelated_preserved-scope_and_postcondition,1,unrelated_preserved,scope_and_postcondition,applied,True,True,True,False,False
r01-unrelated_preserved-scope_only,1,unrelated_preserved,scope_only,applied,True,True,True,False,False
r01-ref_race-scope_and_postcondition,1,ref_race,scope_and_postcondition,cas_rejected,False,True,False,False,True
r01-ref_race-scope_only,1,ref_race,scope_only,cas_rejected,False,True,False,False,True
r01-wrong_bytes-scope_only,1,wrong_bytes,scope_only,applied,True,False,False,True,False
r01-wrong_bytes-scope_and_postcondition,1,wrong_bytes,scope_and_postcondition,postcondition_mismatch,False,True,False,False,True
r01-target_deleted-scope_only,1,target_deleted,scope_only,applied,True,False,False,True,False
r01-target_deleted-scope_and_postcondition,1,target_deleted,scope_and_postcondition,postcondition_mismatch,False,True,False,False,True
r01-wrong_parent-scope_only,1,wrong_parent,scope_only,parent_mismatch,False,True,False,False,True
r01-wrong_parent-scope_and_postcondition,1,wrong_parent,scope_and_postcondition,parent_mismatch,False,True,False,False,True
r01-wrong_mode-scope_and_postcondition,1,wrong_mode,scope_and_postcondition,postcondition_mismatch,False,True,False,False,True
r01-wrong_mode-scope_only,1,wrong_mode,scope_only,applied,True,False,False,True,False
r01-write_conflict-scope_only,1,write_conflict,scope_only,write_conflict,False,True,False,False,True
r01-write_conflict-scope_and_postcondition,1,write_conflict,scope_and_postcondition,write_conflict,False,True,False,False,True
r01-correct-scope_only,1,correct,scope_only,applied,True,True,True,False,False
r01-correct-scope_and_postcondition,1,correct,scope_and_postcondition,applied,True,True,True,False,False
r01-extra_change-scope_and_postcondition,1,extra_change,scope_and_postcondition,scope_mismatch,False,True,False,False,True
r01-extra_change-scope_only,1,extra_change,scope_only,scope_mismatch,False,True,False,False,True
r01-no_op-scope_and_postcondition,1,no_op,scope_and_postcondition,scope_mismatch,False,True,False,False,True
r01-no_op-scope_only,1,no_op,scope_only,scope_mismatch,False,True,False,False,True
r02-target_deleted-scope_and_postcondition,2,target_deleted,scope_and_postcondition,postcondition_mismatch,False,True,False,False,True
r02-target_deleted-scope_only,2,target_deleted,scope_only,applied,True,False,False,True,False
r02-ref_race-scope_only,2,ref_race,scope_only,cas_rejected,False,True,False,False,True
r02-ref_race-scope_and_postcondition,2,ref_race,scope_and_postcondition,cas_rejected,False,True,False,False,True
