id,decision,correct,outside_write_changes,conflicting_write_overwritten
r1-current_patch-stable,applied,1,,0
r1-current_patch-read_conflict,read_conflict,1,,0
r1-guarded_current_patch-after_validation_change,cas_rejected,1,,0
r1-guarded_current_patch-unrelated_delete,applied,1,,0
r1-fixed_snapshot-unrelated_edit,applied,0,unrelated.txt,0
r1-guarded_current_patch-unrelated_add,applied,1,,0
r1-fixed_snapshot-write_conflict,applied,0,,1
r1-fixed_snapshot-stable,applied,1,,0
r1-guarded_current_patch-write_conflict,write_conflict,1,,0
r1-fixed_snapshot-unrelated_delete,applied,0,deletable.txt,0
r1-current_patch-unrelated_delete,applied,1,,0
r1-current_patch-unrelated_edit,applied,1,,0
r1-fixed_snapshot-unrelated_add,applied,0,added.txt,0
r1-current_patch-write_conflict,applied,0,,1
r1-current_patch-unrelated_add,applied,1,,0
r1-guarded_current_patch-read_conflict,read_conflict,1,,0
r1-guarded_current_patch-unrelated_edit,applied,1,,0
r1-fixed_snapshot-read_conflict,read_conflict,1,,0
r1-current_patch-after_validation_change,cas_rejected,1,,0
r1-guarded_current_patch-stable,applied,1,,0
r1-fixed_snapshot-after_validation_change,cas_rejected,1,,0
r2-guarded_current_patch-unrelated_delete,applied,1,,0
r2-guarded_current_patch-write_conflict,write_conflict,1,,0
r2-fixed_snapshot-after_validation_change,cas_rejected,1,,0
r2-current_patch-unrelated_add,applied,1,,0
r2-fixed_snapshot-read_conflict,read_conflict,1,,0
r2-guarded_current_patch-after_validation_change,cas_rejected,1,,0
r2-current_patch-unrelated_delete,applied,1,,0
r2-guarded_current_patch-read_conflict,read_conflict,1,,0
r2-fixed_snapshot-unrelated_delete,applied,0,deletable.txt,0
r2-current_patch-stable,applied,1,,0
r2-guarded_current_patch-unrelated_edit,applied,1,,0
r2-current_patch-unrelated_edit,applied,1,,0
r2-fixed_snapshot-write_conflict,applied,0,,1
r2-fixed_snapshot-stable,applied,1,,0
r2-current_patch-after_validation_change,cas_rejected,1,,0
r2-current_patch-read_conflict,read_conflict,1,,0
r2-current_patch-write_conflict,applied,0,,1
r2-guarded_current_patch-unrelated_add,applied,1,,0
r2-fixed_snapshot-unrelated_add,applied,0,added.txt,0
r2-guarded_current_patch-stable,applied,1,,0
r2-fixed_snapshot-unrelated_edit,applied,0,unrelated.txt,0
r3-guarded_current_patch-write_conflict,write_conflict,1,,0
r3-guarded_current_patch-unrelated_delete,applied,1,,0
r3-guarded_current_patch-stable,applied,1,,0
r3-current_patch-unrelated_edit,applied,1,,0
r3-fixed_snapshot-read_conflict,read_conflict,1,,0
r3-current_patch-stable,applied,1,,0
r3-fixed_snapshot-unrelated_delete,applied,0,deletable.txt,0
r3-fixed_snapshot-stable,applied,1,,0
r3-fixed_snapshot-unrelated_add,applied,0,added.txt,0
r3-guarded_current_patch-after_validation_change,cas_rejected,1,,0
r3-guarded_current_patch-unrelated_edit,applied,1,,0
r3-guarded_current_patch-read_conflict,read_conflict,1,,0
r3-fixed_snapshot-unrelated_edit,applied,0,unrelated.txt,0
r3-current_patch-unrelated_add,applied,1,,0
r3-current_patch-unrelated_delete,applied,1,,0
r3-current_patch-write_conflict,applied,0,,1
r3-fixed_snapshot-after_validation_change,cas_rejected,1,,0
r3-current_patch-after_validation_change,cas_rejected,1,,0
r3-guarded_current_patch-unrelated_add,applied,1,,0
r3-current_patch-read_conflict,read_conflict,1,,0
r3-fixed_snapshot-write_conflict,applied,0,,1
