index,policy,scenario,repetition,independent_before_A_resolution,correct_effects,effects,wrong_effects,premature_dependent_reads,input_releases,acquisition_brackets,visible_complete,acknowledged,lookups,duration_ms,A_resolution_ms
0,frontier,dropped,0,2,2,2,0,0,3,10,False,2,0,650.238903,
1,frontier_lookup,dropped,0,2,2,2,0,0,8,25,False,2,5,651.648282,
2,global_wait,dropped,0,0,0,0,0,0,1,4,False,0,0,651.2907,
3,release_only,dropped,0,2,2,3,1,1,4,13,False,3,0,651.207751,
4,name_frontier,dropped,0,2,2,2,0,0,3,10,False,2,0,650.269723,
5,name_frontier,ack_lost,0,2,3,3,0,0,3,10,False,2,0,650.777798,
6,frontier,ack_lost,0,2,3,3,0,0,3,10,False,2,0,650.229348,
7,frontier_lookup,ack_lost,0,2,4,4,0,0,5,16,True,4,1,314.478601,292.906728
8,global_wait,ack_lost,0,0,1,1,0,0,1,4,False,0,0,650.361841,
9,release_only,ack_lost,0,2,3,4,1,1,4,13,False,3,0,650.652837,
10,frontier_lookup,opaque,0,0,4,4,0,0,4,13,True,4,0,367.742159,242.374149
11,global_wait,opaque,0,0,4,4,0,0,4,13,True,4,0,470.026594,244.464865
12,release_only,opaque,0,2,3,4,1,1,4,13,True,4,0,242.285873,242.233223
13,name_frontier,opaque,0,0,4,4,0,0,4,13,True,4,0,367.106473,242.257263
14,frontier,opaque,0,0,4,4,0,0,4,13,True,4,0,366.248524,241.817817
15,global_wait,delayed,0,0,4,4,0,0,4,13,True,4,0,467.616022,242.357026
16,release_only,delayed,0,2,3,4,1,1,4,13,True,4,0,242.96365,242.955307
17,name_frontier,delayed,0,2,4,4,0,0,4,13,True,4,0,264.001917,242.197578
18,frontier,delayed,0,2,4,4,0,0,4,13,True,4,0,263.712516,241.735759
19,frontier_lookup,delayed,0,2,4,4,0,0,4,13,True,4,0,265.163041,243.35468
20,release_only,alias,0,2,3,4,1,1,4,13,True,4,0,242.38201,242.357544
21,name_frontier,alias,0,2,3,4,1,1,4,13,True,4,0,242.09309,242.08472
22,frontier,alias,0,2,4,4,0,0,4,13,True,4,0,264.020347,242.121848
23,frontier_lookup,alias,0,2,4,4,0,0,4,13,True,4,0,263.234046,241.66284
24,global_wait,alias,0,0,4,4,0,0,4,13,True,4,0,467.846063,241.906913
25,release_only,delayed,1,2,3,4,1,1,4,13,True,4,0,244.195918,244.183752
26,name_frontier,delayed,1,2,4,4,0,0,4,13,True,4,0,265.286957,243.667295
27,frontier,delayed,1,2,4,4,0,0,4,13,True,4,0,263.122847,241.413723
28,frontier_lookup,delayed,1,2,4,4,0,0,4,13,True,4,0,264.869053,243.092974
29,global_wait,delayed,1,0,4,4,0,0,4,13,True,4,0,467.710261,242.172583
30,global_wait,opaque,1,0,4,4,0,0,4,13,True,4,0,468.62649,242.299249
31,release_only,opaque,1,2,3,4,1,1,4,13,True,4,0,242.426424,242.418415
32,name_frontier,opaque,1,0,4,4,0,0,4,13,True,4,0,366.989261,243.178315
33,frontier,opaque,1,0,4,4,0,0,4,13,True,4,0,365.497984,242.482339
34,frontier_lookup,opaque,1,0,4,4,0,0,4,13,True,4,0,364.929646,242.662208
35,frontier_lookup,dropped,1,2,2,2,0,0,8,25,False,2,5,650.762652,
36,global_wait,dropped,1,0,0,0,0,0,1,4,False,0,0,651.739147,
37,release_only,dropped,1,2,2,3,1,1,4,13,False,3,0,651.616329,
38,name_frontier,dropped,1,2,2,2,0,0,3,10,False,2,0,652.134453,
39,frontier,dropped,1,2,2,2,0,0,3,10,False,2,0,651.996125,
40,name_frontier,alias,1,2,3,4,1,1,4,13,True,4,0,243.251962,243.244737
41,frontier,alias,1,2,4,4,0,0,4,13,True,4,0,264.168634,242.833294
42,frontier_lookup,alias,1,2,4,4,0,0,4,13,True,4,0,263.902952,241.757442
43,global_wait,alias,1,0,4,4,0,0,4,13,True,4,0,469.206132,242.310616
44,release_only,alias,1,2,3,4,1,1,4,13,True,4,0,241.96962,241.962683
45,frontier,ack_lost,1,2,3,3,0,0,3,10,False,2,0,650.636328,
46,frontier_lookup,ack_lost,1,2,4,4,0,0,5,16,True,4,1,313.562584,292.081322
47,global_wait,ack_lost,1,0,1,1,0,0,1,4,False,0,0,650.992462,
48,release_only,ack_lost,1,2,3,4,1,1,4,13,False,3,0,650.424356,
49,name_frontier,ack_lost,1,2,3,3,0,0,3,10,False,2,0,651.757621,
50,name_frontier,delayed,2,2,4,4,0,0,4,13,True,4,0,264.781498,243.090014
51,frontier,delayed,2,2,4,4,0,0,4,13,True,4,0,265.129677,242.988301
52,frontier_lookup,delayed,2,2,4,4,0,0,4,13,True,4,0,263.445714,241.444471
53,global_wait,delayed,2,0,4,4,0,0,4,13,True,4,0,469.365285,242.052922
54,release_only,delayed,2,2,3,4,1,1,4,13,True,4,0,242.53391,242.526075
55,release_only,opaque,2,2,3,4,1,1,4,13,True,4,0,242.209738,242.201808
56,name_frontier,opaque,2,0,4,4,0,0,4,13,True,4,0,368.12917,244.248844
57,frontier,opaque,2,0,4,4,0,0,4,13,True,4,0,367.34906,242.788013
58,frontier_lookup,opaque,2,0,4,4,0,0,4,13,True,4,0,365.91353,241.822493
59,global_wait,opaque,2,0,4,4,0,0,4,13,True,4,0,472.470666,244.738084
60,global_wait,dropped,2,0,0,0,0,0,1,4,False,0,0,651.281801,
61,release_only,dropped,2,2,2,3,1,1,4,13,False,3,0,650.480285,
62,name_frontier,dropped,2,2,2,2,0,0,3,10,False,2,0,650.319754,
63,frontier,dropped,2,2,2,2,0,0,3,10,False,2,0,651.204509,
64,frontier_lookup,dropped,2,2,2,2,0,0,8,25,False,2,5,651.13077,
65,frontier,alias,2,2,4,4,0,0,4,13,True,4,0,263.285931,241.53945
66,frontier_lookup,alias,2,2,4,4,0,0,4,13,True,4,0,263.16474,241.598958
67,global_wait,alias,2,0,4,4,0,0,4,13,True,4,0,467.602415,241.686779
68,release_only,alias,2,2,3,4,1,1,4,13,True,4,0,241.760701,241.75283
69,name_frontier,alias,2,2,3,4,1,1,4,13,True,4,0,242.744321,242.736968
70,frontier_lookup,ack_lost,2,2,4,4,0,0,5,16,True,4,1,313.014543,291.611227
71,global_wait,ack_lost,2,0,1,1,0,0,1,4,False,0,0,651.386235,
72,release_only,ack_lost,2,2,3,4,1,1,4,13,False,3,0,652.120952,
73,name_frontier,ack_lost,2,2,3,3,0,0,3,10,False,2,0,651.830292,
74,frontier,ack_lost,2,2,3,3,0,0,3,10,False,2,0,650.513189,
