id,accepted,task_correct,reason
A2-r1-stale_document-fill_conflict,False,True,fill_conflict
A2-r1-stale_document-target_move,True,False,published
A2-r1-scoped_current-other_move,True,True,published
A2-r1-whole_file_guard-stable,True,True,published
A2-r1-whole_file_guard-target_move,False,False,whole_file_changed
A2-r1-scoped_current-stable,True,True,published
A2-r1-scoped_current-fill_conflict,False,True,fill_conflict
A2-r1-scoped_current-late_ref,False,True,ref_conflict
A2-r1-whole_file_guard-fill_conflict,False,True,fill_conflict
A2-r1-stale_document-stable,True,True,published
A2-r1-stale_document-other_move,True,False,published
A2-r1-whole_file_guard-late_ref,False,True,ref_conflict
A2-r1-scoped_current-target_move,True,True,published
A2-r1-stale_document-late_ref,False,True,ref_conflict
A2-r1-whole_file_guard-other_move,False,False,whole_file_changed
A2-r2-whole_file_guard-other_move,False,False,whole_file_changed
A2-r2-scoped_current-stable,True,True,published
A2-r2-whole_file_guard-fill_conflict,False,True,fill_conflict
A2-r2-stale_document-stable,True,True,published
A2-r2-scoped_current-fill_conflict,False,True,fill_conflict
A2-r2-whole_file_guard-late_ref,False,True,ref_conflict
A2-r2-whole_file_guard-stable,True,True,published
A2-r2-whole_file_guard-target_move,False,False,whole_file_changed
A2-r2-stale_document-late_ref,False,True,ref_conflict
A2-r2-scoped_current-late_ref,False,True,ref_conflict
A2-r2-scoped_current-target_move,True,True,published
A2-r2-stale_document-fill_conflict,False,True,fill_conflict
A2-r2-stale_document-other_move,True,False,published
A2-r2-scoped_current-other_move,True,True,published
A2-r2-stale_document-target_move,True,False,published
A2-r3-scoped_current-other_move,True,True,published
A2-r3-stale_document-fill_conflict,False,True,fill_conflict
A2-r3-scoped_current-late_ref,False,True,ref_conflict
A2-r3-stale_document-other_move,True,False,published
A2-r3-stale_document-late_ref,False,True,ref_conflict
A2-r3-whole_file_guard-other_move,False,False,whole_file_changed
A2-r3-stale_document-target_move,True,False,published
A2-r3-scoped_current-stable,True,True,published
A2-r3-whole_file_guard-fill_conflict,False,True,fill_conflict
A2-r3-whole_file_guard-stable,True,True,published
A2-r3-whole_file_guard-target_move,False,False,whole_file_changed
A2-r3-scoped_current-fill_conflict,False,True,fill_conflict
A2-r3-whole_file_guard-late_ref,False,True,ref_conflict
A2-r3-stale_document-stable,True,True,published
A2-r3-scoped_current-target_move,True,True,published
B-r1-paint_context-stylesheet,False,True,unsupported_paint_context
B-r1-paint_context-inline_style,False,True,unsupported_paint_context
B-r1-raw_attribute-stylesheet,True,False,published
B-r1-paint_context-stable,True,True,published
B-r1-raw_attribute-inline_style,True,False,published
B-r1-raw_attribute-stable,True,True,published
B-r2-paint_context-inline_style,False,True,unsupported_paint_context
B-r2-paint_context-stable,True,True,published
B-r2-paint_context-stylesheet,False,True,unsupported_paint_context
B-r2-raw_attribute-stable,True,True,published
B-r2-raw_attribute-inline_style,True,False,published
B-r2-raw_attribute-stylesheet,True,False,published
B-r3-paint_context-stylesheet,False,True,unsupported_paint_context
B-r3-paint_context-inline_style,False,True,unsupported_paint_context
B-r3-raw_attribute-inline_style,True,False,published
B-r3-raw_attribute-stable,True,True,published
B-r3-paint_context-stable,True,True,published
B-r3-raw_attribute-stylesheet,True,False,published
