id,rep,timeout_seconds,guard,accepted_ns,deadline_ns,end_observed_ns,verified_ns,status,late_admission_count,final_timeout
matched-r1-t40-g0,1,40,False,445967875028,449042173487,446767552138,449043021708,expired,2,True
matched-r1-t40-g1,1,40,True,453099496590,456173993942,453898090779,453898705913,cancelled,0,True
matched-r1-t60-g1,1,60,True,467961130679,471035623553,,471036385615,expired,2,False
matched-r1-t60-g0,1,60,False,475091461082,478165904945,,478166380401,expired,2,False
matched-r2-t60-g1,2,60,True,489137159681,492211386094,,492212034789,expired,2,False
matched-r2-t60-g0,2,60,False,496324845101,499399291397,,499399870206,expired,2,False
matched-r2-t40-g0,2,40,False,509382173004,512456708451,510181423810,512457198315,expired,2,True
matched-r2-t40-g1,2,40,True,516463731164,519538168437,517263478652,517264839187,cancelled,0,True
matched-r3-t40-g1,3,40,True,532389972653,535463980324,533186369561,533187360578,cancelled,0,True
matched-r3-t40-g0,3,40,False,539320513745,542394879462,540234572096,542395368805,expired,2,True
matched-r3-t60-g0,3,60,False,552148771441,555223055328,,555223544968,expired,2,False
matched-r3-t60-g1,3,60,True,559301268682,562375768808,,562376243841,expired,2,False
