additional_native_releases,down_requests,entry_characters,index,native_presses,native_releases,rep,repeat,sampled_down_transitions,schedule,tk_releases
0,0,0,0,0,0,0,False,0,NO_INPUT,0
1,1,1,1,1,2,0,False,1,SINGLE_TAP,1
1,2,1,2,1,2,0,False,1,DUPLICATE_DOWN,1
2,2,2,3,2,4,0,False,2,TWO_TAPS,2
1,1,1,4,1,2,0,False,1,LONG_HOLD,1
0,0,0,5,0,0,0,True,0,NO_INPUT,0
1,1,1,6,1,2,0,True,1,SINGLE_TAP,1
1,2,1,7,1,2,0,True,1,DUPLICATE_DOWN,1
2,2,2,8,2,4,0,True,2,TWO_TAPS,2
1,1,10,9,10,11,0,True,1,LONG_HOLD,10
1,1,1,10,1,2,1,True,1,SINGLE_TAP,1
1,2,1,11,1,2,1,True,1,DUPLICATE_DOWN,1
2,2,2,12,2,4,1,True,2,TWO_TAPS,2
1,1,10,13,10,11,1,True,1,LONG_HOLD,10
0,0,0,14,0,0,1,True,0,NO_INPUT,0
1,1,1,15,1,2,1,False,1,SINGLE_TAP,1
1,2,1,16,1,2,1,False,1,DUPLICATE_DOWN,1
2,2,2,17,2,4,1,False,2,TWO_TAPS,2
1,1,1,18,1,2,1,False,1,LONG_HOLD,1
0,0,0,19,0,0,1,False,0,NO_INPUT,0
