case_id,readiness,trajectory,ready,sample_count,sample0_counts,sample1_counts,readiness_elapsed_ms,verdict,A_x,B_x,keymap_zero,error_code
00-stable-snapshot,snapshot,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,44.386608,CORRECT_A,60.0,220.0,True,
00-stable-wait,wait,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,50.250800,CORRECT_A,60.0,220.0,True,
00-switch-snapshot,snapshot,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,44.054429,WRONG_B,50.0,230.0,True,
00-switch-wait,wait,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,42.414675,WRONG_B,50.0,230.0,True,
01-stable-snapshot,snapshot,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,42.420672,CORRECT_A,60.0,220.0,True,
01-stable-wait,wait,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,44.731628,CORRECT_A,60.0,220.0,True,
01-switch-snapshot,snapshot,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,45.426238,WRONG_B,50.0,230.0,True,
01-switch-wait,wait,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,58.049174,WRONG_B,50.0,230.0,True,
02-stable-snapshot,snapshot,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,45.202478,CORRECT_A,60.0,220.0,True,
02-stable-wait,wait,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,43.052093,CORRECT_A,60.0,220.0,True,
02-switch-snapshot,snapshot,switch,False,1,"{bottom:0,left:0,right:0,top:0}",,41.568125,,,,True,REVALIDATION_FAILED
02-switch-wait,wait,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,45.808035,WRONG_B,50.0,230.0,True,
03-stable-snapshot,snapshot,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,45.042613,CORRECT_A,60.0,220.0,True,
03-stable-wait,wait,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,42.036155,CORRECT_A,60.0,220.0,True,
03-switch-snapshot,snapshot,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,42.745953,WRONG_B,50.0,230.0,True,
03-switch-wait,wait,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,58.156120,WRONG_B,50.0,230.0,True,
04-stable-snapshot,snapshot,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,47.848848,CORRECT_A,60.0,220.0,True,
04-stable-wait,wait,stable,True,2,"{bottom:0,left:0,right:0,top:0}","{bottom:64,left:156,right:162,top:62}",133.203692,CORRECT_A,60.0,220.0,True,
04-switch-snapshot,snapshot,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,46.313161,WRONG_B,50.0,230.0,True,
04-switch-wait,wait,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,45.500746,WRONG_B,50.0,230.0,True,
05-stable-snapshot,snapshot,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,66.376615,CORRECT_A,60.0,220.0,True,
05-stable-wait,wait,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,42.789025,CORRECT_A,60.0,220.0,True,
05-switch-snapshot,snapshot,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,46.303872,WRONG_B,50.0,230.0,True,
05-switch-wait,wait,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,44.636765,WRONG_B,50.0,230.0,True,
06-stable-snapshot,snapshot,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,45.616767,CORRECT_A,60.0,220.0,True,
06-stable-wait,wait,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,52.542821,CORRECT_A,60.0,220.0,True,
06-switch-snapshot,snapshot,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,64.101083,WRONG_B,50.0,230.0,True,
06-switch-wait,wait,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,58.047534,WRONG_B,50.0,230.0,True,
07-stable-snapshot,snapshot,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,42.751330,CORRECT_A,60.0,220.0,True,
07-stable-wait,wait,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,45.007615,CORRECT_A,60.0,220.0,True,
07-switch-snapshot,snapshot,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,45.028863,WRONG_B,50.0,230.0,True,
07-switch-wait,wait,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,47.648489,WRONG_B,50.0,230.0,True,
08-stable-snapshot,snapshot,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,46.588967,CORRECT_A,60.0,220.0,True,
08-stable-wait,wait,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,42.757950,CORRECT_A,60.0,220.0,True,
08-switch-snapshot,snapshot,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,43.349705,WRONG_B,50.0,230.0,True,
08-switch-wait,wait,switch,True,2,"{bottom:0,left:0,right:0,top:0}","{bottom:64,left:156,right:162,top:62}",123.296422,WRONG_B,50.0,230.0,True,
09-stable-snapshot,snapshot,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,43.363585,CORRECT_A,60.0,220.0,True,
09-stable-wait,wait,stable,True,1,"{bottom:64,left:156,right:162,top:62}",,44.689164,CORRECT_A,60.0,220.0,True,
09-switch-snapshot,snapshot,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,46.809203,WRONG_B,50.0,230.0,True,
09-switch-wait,wait,switch,True,1,"{bottom:64,left:156,right:162,top:62}",,55.894498,WRONG_B,50.0,230.0,True,
