         91966 function calls (76686 primitive calls) in 0.675 seconds

   Ordered by: cumulative time
   List reduced from 202 to 18 due to restriction <18>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        8    0.001    0.000    0.675    0.084 /mnt/c/Users/junny/Documents/New project/agent-interface-public-review/research/live_control/agent_review.py:45(review_native)
        8    0.001    0.000    0.384    0.048 /mnt/c/Users/junny/Documents/New project/agent-interface-public-review/runtime/cli_v1/receipt_image.py:9(select_image)
       24    0.000    0.000    0.369    0.015 /usr/lib/python3.12/pathlib.py:1230(resolve)
       24    0.000    0.000    0.369    0.015 <frozen posixpath>:428(realpath)
       24    0.003    0.000    0.367    0.015 <frozen posixpath>:437(_joinrealpath)
      272    0.360    0.001    0.360    0.001 {built-in method posix.lstat}
       24    0.000    0.000    0.180    0.007 /usr/lib/python3.12/pathlib.py:1017(read_bytes)
       24    0.000    0.000    0.117    0.005 /usr/lib/python3.12/pathlib.py:1007(open)
       24    0.116    0.005    0.117    0.005 {built-in method _io.open}
       15    0.056    0.004    0.056    0.004 {built-in method posix.stat}
        8    0.000    0.000    0.045    0.006 /usr/lib/python3.12/pathlib.py:888(is_file)
        8    0.000    0.000    0.045    0.006 /usr/lib/python3.12/pathlib.py:837(stat)
        8    0.000    0.000    0.035    0.004 /mnt/c/Users/junny/Documents/New project/agent-interface-public-review/research/live_control/receipt_references.py:9(compact_native_receipt)
       25    0.033    0.001    0.033    0.001 {method '__exit__' of '_io._IOBase' objects}
       25    0.032    0.001    0.032    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.024    0.024 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.000    0.000    0.024    0.024 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
 11088/24    0.010    0.000    0.021    0.001 /usr/lib/python3.12/copy.py:118(deepcopy)


