block,load,mode,case_id,samples,received,fresh_completions,median_age_twice_ns,cues,source_cues,current_delivery_cues,bad_cues
0,idle,single_whole,b00-idle-single_whole,296,296,296,497710,12,12,12,0
0,idle,single_chunked,b00-idle-single_chunked,295,295,295,527414,12,12,12,0
0,idle,batch_whole,b00-idle-batch_whole,263,263,263,717196,12,12,12,0
0,idle,batch_chunked,b00-idle-batch_chunked,293,293,293,562934,12,12,12,0
0,busy,single_whole,b00-busy-single_whole,293,179,15,171150304,12,12,0,0
0,busy,single_chunked,b00-busy-single_chunked,299,210,25,139288251,12,12,0,0
0,busy,batch_whole,b00-busy-batch_whole,298,298,297,16299040,12,12,0,0
0,busy,batch_chunked,b00-busy-batch_chunked,294,294,294,10704068,12,12,3,0
1,busy,single_chunked,b01-busy-single_chunked,292,194,38,177632842,12,12,0,0
1,busy,batch_whole,b01-busy-batch_whole,298,298,298,16860085,12,12,2,0
1,busy,batch_chunked,b01-busy-batch_chunked,298,298,298,10055371,12,12,8,0
1,busy,single_whole,b01-busy-single_whole,299,167,20,246651876,12,12,0,0
1,idle,single_chunked,b01-idle-single_chunked,291,291,291,792084,12,12,12,0
1,idle,batch_whole,b01-idle-batch_whole,245,245,244,768100,12,12,11,0
1,idle,batch_chunked,b01-idle-batch_chunked,299,299,299,527068,12,12,12,0
1,idle,single_whole,b01-idle-single_whole,287,287,287,774950,12,12,12,0
2,idle,batch_whole,b02-idle-batch_whole,298,298,298,510405,12,12,12,0
2,idle,batch_chunked,b02-idle-batch_chunked,300,300,300,527478,12,12,12,0
2,idle,single_whole,b02-idle-single_whole,298,298,298,453279,12,12,12,0
2,idle,single_chunked,b02-idle-single_chunked,296,296,296,488925,12,12,12,0
2,busy,batch_whole,b02-busy-batch_whole,297,297,293,15816578,12,12,0,0
2,busy,batch_chunked,b02-busy-batch_chunked,296,296,296,11148679,12,12,7,0
2,busy,single_whole,b02-busy-single_whole,296,289,131,45593894,12,12,1,0
2,busy,single_chunked,b02-busy-single_chunked,300,300,236,20796176,12,12,4,0
3,busy,batch_chunked,b03-busy-batch_chunked,249,249,248,11190000,12,11,5,0
3,busy,single_whole,b03-busy-single_whole,219,219,109,40116040,12,12,4,0
3,busy,single_chunked,b03-busy-single_chunked,251,251,229,12630920,12,12,2,0
3,busy,batch_whole,b03-busy-batch_whole,281,281,275,15755122,12,11,0,0
3,idle,batch_chunked,b03-idle-batch_chunked,294,294,294,411971,12,12,12,0
3,idle,single_whole,b03-idle-single_whole,277,277,277,414374,12,12,11,0
3,idle,single_chunked,b03-idle-single_chunked,299,299,299,413244,12,12,12,0
3,idle,batch_whole,b03-idle-batch_whole,224,224,222,598241,12,11,10,1
