case_id,transport,press_offset_ms,input_recv_offset_ms,release_offset_ms,effect_offset_ms,seen_offset_ms,transport_seen_ms,drain_ms,focus_match,press_before_frontier,input_byte_hex,receipt_valid,terminal_key_down,xterm_rc
p000-file,file,38.001148,38.939058,46.801572,51.939981,52.257653,0.317672,5.456081,True,True,78,True,False,0
p000-dgram,dgram,38.001568,39.350191,46.764927,52.351083,52.534998,0.183915,5.770071,True,True,78,True,False,0
p001-dgram,dgram,38.000847,38.907947,46.749053,52.107648,52.259275,0.151627,5.510222,True,True,78,True,False,0
p001-file,file,38.000817,39.031573,46.72631,52.032446,52.500848,0.468402,5.774538,True,True,78,True,False,0
p002-file,file,38.000627,38.708538,46.46037,51.70928,52.108459,0.399179,5.648089,True,True,78,True,False,0
p002-dgram,dgram,38.001057,38.773855,46.497215,51.774297,52.005253,0.230956,5.508038,True,True,78,True,False,0
p003-dgram,dgram,38.000855,38.859632,46.544641,51.860353,52.096923,0.23657,5.552282,True,True,78,True,False,0
p003-file,file,38.001182,39.236533,46.758958,52.237188,52.573363,0.336175,5.814405,True,True,78,True,False,0
p004-file,file,38.000706,39.12462,46.47034,52.125366,52.414219,0.288853,5.943879,True,True,78,True,False,0
p004-dgram,dgram,38.000837,38.817621,46.605073,51.818306,52.185877,0.367571,5.580804,True,True,78,True,False,0
p005-dgram,dgram,38.001631,39.101044,46.735281,52.102011,52.221224,0.119213,5.485943,True,True,78,True,False,0
p005-file,file,38.001901,38.798811,46.530004,51.799417,52.114885,0.315468,5.584881,True,True,78,True,False,0
p006-file,file,38.000659,38.840693,46.478496,51.84132,52.1979,0.35658,5.719404,True,True,78,True,False,0
p006-dgram,dgram,38.000869,39.89628,46.93089,52.897247,53.072375,0.175128,6.141485,True,True,78,True,False,0
p007-dgram,dgram,38.00121,38.844544,46.657935,51.845321,51.983918,0.138597,5.325983,True,True,78,True,False,0
p007-file,file,38.000869,38.691398,46.443844,51.692876,51.988795,0.295919,5.544951,True,True,78,True,False,0
p008-file,file,38.001139,38.798945,46.555141,51.799402,52.091259,0.291857,5.536118,True,True,78,True,False,0
p008-dgram,dgram,38.000867,39.383631,46.615963,52.3844,52.781656,0.397256,6.165693,True,True,78,True,False,0
p009-dgram,dgram,38.000959,38.81154,46.515764,51.812108,51.931202,0.119094,5.415438,True,True,78,True,False,0
p009-file,file,38.000795,39.123069,46.759001,52.124138,52.636516,0.512378,5.877515,True,True,78,True,False,0
p010-file,file,38.001765,39.070973,46.765404,52.071554,52.367653,0.296099,5.602249,True,True,78,True,False,0
p010-dgram,dgram,38.001315,38.738426,46.46891,51.738867,51.887314,0.148447,5.418404,True,True,78,True,False,0
p011-dgram,dgram,38.000483,38.684374,46.447137,51.684946,51.83767,0.152724,5.390533,True,True,78,True,False,0
p011-file,file,38.000984,38.922846,46.652455,51.923818,52.413893,0.490075,5.761438,True,True,78,True,False,0
p012-file,file,38.000984,38.903867,46.630231,51.904519,52.543758,0.639239,5.913527,True,True,78,True,False,0
p012-dgram,dgram,38.001535,38.894829,46.652515,51.896322,52.05146,0.155138,5.398945,True,True,78,True,False,0
p013-dgram,dgram,38.001496,39.392341,46.952536,52.393603,52.548045,0.154442,5.595509,True,True,78,True,False,0
p013-file,file,38.001045,38.802531,46.60891,51.803338,52.10473,0.301392,5.49582,True,True,78,True,False,0
p014-file,file,38.000794,39.014103,46.681579,52.015165,52.426502,0.411337,5.744923,True,True,78,True,False,0
p014-dgram,dgram,38.000652,38.842204,46.554377,51.842797,51.988826,0.146029,5.434449,True,True,78,True,False,0
p015-dgram,dgram,38.002021,38.993446,46.932965,51.994438,52.269606,0.275168,5.336641,True,True,78,True,False,0
p015-file,file,38.001418,38.844422,46.462883,51.845183,52.186895,0.341712,5.724012,True,True,78,True,False,0
p016-file,file,38.001198,38.787668,46.607096,51.788609,52.260101,0.471492,5.653005,True,True,78,True,False,0
p016-dgram,dgram,38.001742,38.810034,46.613311,51.810783,51.936051,0.125268,5.32274,True,True,78,True,False,0
p017-dgram,dgram,38.000667,38.811097,46.563665,51.812228,51.931753,0.119525,5.368088,True,True,78,True,False,0
p017-file,file,38.00114,38.73469,46.504508,51.73553,52.08275,0.34722,5.578242,True,True,78,True,False,0
p018-file,file,38.000949,38.754128,46.508674,51.754879,52.211313,0.456434,5.702639,True,True,78,True,False,0
p018-dgram,dgram,38.001231,38.892887,46.51257,51.893738,52.018545,0.124807,5.505975,True,True,78,True,False,0
p019-dgram,dgram,38.00089,38.883344,46.527112,51.884003,51.999365,0.115362,5.472253,True,True,78,True,False,0
p019-file,file,38.000908,38.717682,46.483585,51.718373,52.007727,0.289354,5.524142,True,True,78,True,False,0
