app,strategy,n,success,candidate_observations,model_visible_observations,suppressed_observations,captured_pixels,model_visible_pixels,false_suppressions,task_wall_p50_ms,task_wall_p95_ms,task_wall_p99_ms,first_feedback_p50_ms,first_feedback_p95_ms,first_feedback_p99_ms,compare_p50_ms,compare_p95_ms,compare_p99_ms
calc,O0,24,24,174,174,0,178176000,178176000,0,112.696883,142.02079845,145.86505233999998,13.243828,18.53928925,19.97229458,0.0,0.0,0.0
calc,O1,24,24,174,99,75,178176000,101376000,0,115.680906,143.89661199999998,150.17552166,13.102922,18.01375405,19.7983936,0.071256,0.35097639999999997,0.4084282800000004
chromium,O0,24,24,294,294,0,301056000,301056000,0,347.0548575,384.81694285000003,419.02890412999994,18.5160345,74.8437199,76.08283394,0.0,0.0,0.0
chromium,O1,24,24,289,280,9,295936000,286720000,0,342.333987,364.96525795,390.50201504,17.959970499999997,77.0713352,80.71787849,0.010473,0.06313879999999934,0.3987936800000012
inkscape,O0,24,24,182,182,0,186368000,186368000,0,276.784283,305.1187981,309.41259726000004,14.876465499999998,84.9171375,91.01726914999996,0.0,0.0,0.0
inkscape,O1,24,24,189,154,35,193536000,157696000,0,284.912785,322.8988534,339.16798988,13.662427000000001,81.150911,85.99870854999998,0.033684,0.6943014,0.7589832000000002
xterm,O0,24,24,72,72,0,73728000,73728000,0,51.9017885,57.93307814999999,60.01641402,18.182116,28.37755985,30.061791130000003,0.0,0.0,0.0
xterm,O1,24,24,72,71,1,73728000,72704000,0,52.3512655,57.941649899999994,62.26753185,18.7746645,30.35362795,31.091403970000002,0.0838515,0.11855780000000003,0.21058216000000093
all,O0,96,96,722,722,0,739328000,739328000,0,190.2608565,366.881932,387.5659344499999,15.1180965,74.68350829999999,85.23973086,0.0,0.0,0.0
all,O1,96,96,724,604,120,741376000,618496000,0,198.754981,350.077918,367.6985695999999,15.116999,76.24117729999999,82.49106039,0.025082,0.33729620000000005,0.72850634
