app,strategy,n,success,candidate_observations,model_visible_observations,suppressed_observations,captured_pixels,model_visible_pixels,false_suppressions,task_wall_p50_ms,task_wall_p95_ms,task_wall_p99_ms,first_feedback_p50_ms,first_feedback_p95_ms,first_feedback_p99_ms,compare_p50_ms,compare_p95_ms,compare_p99_ms
calc,O0,4,4,30,30,0,30720000,30720000,0,130.123947,141.33836825,141.37307765,12.7868425,17.2040418,19.00245915,0.0,0.0,0.0
calc,O1,4,4,28,16,12,28672000,16384000,0,116.1296665,126.1513212,127.26710664,13.655096,19.070819549999996,22.16229395,0.06732350000000001,0.30223514999999995,0.31537474
chromium,O0,4,4,47,47,0,48128000,48128000,0,333.0471275,346.34576555,347.31464591,18.030074499999998,78.00356595,78.30245799,0.0,0.0,0.0
chromium,O1,4,4,47,44,3,48128000,45056000,0,323.3429565,354.28389684999996,357.79660657,16.9512445,74.5694358,75.82382796,0.010682,0.23434149999999937,0.7262689599999994
inkscape,O0,4,4,31,31,0,31744000,31744000,0,272.3696715,281.36729495000003,281.69488379,12.8231835,69.372884,69.7766048,0.0,0.0,0.0
inkscape,O1,4,4,29,22,7,29696000,22528000,0,255.71207850000002,291.52033895,294.51377339,14.8738315,73.367616,75.2497296,0.03146,0.4695843999999995,0.5822339999999999
xterm,O0,4,4,12,12,0,12288000,12288000,0,54.635097,66.6412492,67.58688184,19.654056,32.3042332,32.51699624,0.0,0.0,0.0
xterm,O1,4,4,12,12,0,12288000,12288000,0,51.851876,56.7264512,56.82774464,17.042965000000002,29.786578199999997,30.50497644,0.07662949999999999,0.0919113,0.09648466000000001
all,O0,16,16,120,120,0,122880000,122880000,0,194.23897,341.50136375,346.34576555,14.5682905,71.93312879999999,78.11368406999999,0.0,0.0,0.0
all,O1,16,16,116,94,22,118784000,96256000,0,183.4809955,336.72034825,354.28389684999996,14.628171,72.6078823,75.85792344000001,0.025641499999999998,0.30195175,0.5859844999999998
