app,strategy,n,success,candidate_observations,model_visible_observations,suppressed_observations,captured_pixels,model_visible_pixels,false_suppressions,task_wall_p50_ms,task_wall_p95_ms,task_wall_p99_ms,first_feedback_p50_ms,first_feedback_p95_ms,first_feedback_p99_ms,compare_p50_ms,compare_p95_ms,compare_p99_ms
calc,O0,4,4,32,32,0,32768000,32768000,0,161.265445,166.92421945,167.10911269000002,15.151087,20.12483825,22.683563189999997,0.0,0.0,0.0
calc,O1,4,4,32,16,16,32768000,16384000,0,168.966351,173.7426212,173.83804424,16.1860295,20.17516525,21.47304923,0.25712,0.53493255,0.5772408600000001
chromium,O0,4,4,44,44,0,45056000,45056000,0,342.584925,369.976648,372.4563904,20.5117165,79.363026,79.7935964,0.0,0.0,0.0
chromium,O1,4,4,45,43,2,46080000,44032000,0,356.797076,389.8512078,393.41918316,23.443541,80.1448318,83.16415676,0.014643,0.1094551999999999,1.06621736
inkscape,O0,4,4,33,33,0,33792000,33792000,0,315.93120150000004,343.99292965,345.82269073,14.422317,67.57520225,71.15065564999999,0.0,0.0,0.0
inkscape,O1,4,4,29,22,7,29696000,22528000,0,272.6484915,282.1079324,282.45381127999997,17.926781,59.041141999999994,59.390437999999996,0.032031,0.4115507999999999,0.4829378399999999
xterm,O0,4,4,12,12,0,12288000,12288000,0,56.111762999999996,68.45250705,70.06827021,21.050142,31.102941199999997,32.49706344,0.0,0.0,0.0
xterm,O1,4,4,12,12,0,12288000,12288000,0,49.348733499999994,58.9885265,60.2848805,18.053595,29.2912332,29.86865144,0.078147,0.13022954999999997,0.14432671000000002
all,O0,16,16,121,121,0,123904000,123904000,0,223.6347525,357.577936,369.976648,16.567687499999998,74.5604233,79.5216572,0.0,0.0,0.0
all,O1,16,16,118,93,25,120832000,95232000,0,210.320536,372.01133100000004,389.8512078,18.699299,71.83036459999997,81.25721467999999,0.030769499999999998,0.4774736999999998,0.9834056899999992
