app,strategy,seed,success,n,defs,reheats,reactive_repairs,guard_deopts,failed_routes,fallbacks,planner_bytes_mean,obs_mpix_mean,input_events_mean,wall_p50_ms,wall_p95_ms,wall_p99_ms
xterm,guarded,611,24,24,1,0,2,0,0,0,26.25,0.08533333333333333,16,15.408243500132812,33.205090000137716,37.23017599986633
xterm,guarded,612,24,24,1,0,2,0,0,0,26.25,0.08533333333333333,16,15.33188900020832,33.49225200008732,38.56404499993005
xterm,guarded,613,24,24,1,0,2,0,0,0,26.25,0.08533333333333333,16,15.190662000122757,34.51007800003936,36.56009099995572
xterm,unguarded,611,24,24,1,2,0,0,2,2,26.25,0.08533333333333333,17.333333333333332,15.286209500118275,45.607409000240295,166.73523899999054
xterm,unguarded,612,24,24,1,2,0,0,2,2,26.25,0.08533333333333333,17.333333333333332,15.405101000169452,41.035928999917815,165.50423699982275
xterm,unguarded,613,24,24,1,2,0,0,2,2,26.25,0.08533333333333333,17.333333333333332,15.493489999926169,42.2429289997126,167.25712400011616
chromium,guarded,611,24,24,1,2,0,2,0,2,38.875,0.21333333333333335,46.75,102.30540850011494,161.09334099974149,162.99852200017995
chromium,guarded,612,24,24,1,2,0,2,0,2,38.791666666666664,0.21333333333333335,46.75,104.12527300013608,153.01961600016512,158.92259400015973
chromium,guarded,613,24,24,1,2,0,2,0,2,38.833333333333336,0.21333333333333335,46.75,107.70735000005516,154.66950300015014,160.86439399987285
chromium,unguarded,611,24,24,1,2,0,0,2,2,38.875,0.21333333333333335,50.833333333333336,104.39167499998803,212.36303800014866,651.2829810003495
chromium,unguarded,612,24,24,1,2,0,0,2,2,38.791666666666664,0.21333333333333335,50.666666666666664,103.46544749995701,212.33814599963807,654.1337640001075
chromium,unguarded,613,24,24,1,2,0,0,2,2,38.833333333333336,0.21333333333333335,50.5,102.68662399994355,213.83792000005997,655.8063460001904
