case_id,launch_order,effect_owner,call_enter_skew_us,both_enter_before_first_commit,effect_rows,decision_rows,replay_historical,replay_new_effects,receipt_sha256,db_sha256
d001,ab,a,86.343,1,1,1,1,0,74e8af3c766b2d678db8dc9171073d0601c7041ac1a0453aef3e877ab2e1ea3a,60412af381fddb63b0e5748a130e3c5fa5d418850efd1271b724c2022ff481c4
d002,ba,b,93.669,1,1,1,1,0,1b0d6803ef4f376147d046636db9be501d1154dd7c043b34ca316e0675482bbc,ed9fb3a7027540255ec0c664f0773b15fc6017530bcc8a06e09b7ec6771bf6a6
d003,ab,b,22.843,1,1,1,1,0,1e5418dcca20e7d7fdb16a6efdb68c0ecdea2497434bbc03d34236ee94592f48,0254c0b701b0f51e99aa421c4618f14b9636f7567db61d55ca81f85aacc72da3
d004,ba,a,55.597,1,1,1,1,0,e221050e11de2d1def18070c75ec2944640924994d5e12dcb66563dc64d5eb93,fb631e79963c0727c5db83e0ebb415871c370ee67f4c25a57c62baf971d1f82c
d005,ab,b,22.473,1,1,1,1,0,697dd49419aad1a7d33b01cf15b983c6d376cd4779e2e0f7884ce68959a8aa4d,1d5c4da731751430bdb3437d3ae237b9dabf486d1a94b0799cca0a890885ad6a
d006,ba,b,30.990,1,1,1,1,0,cc4225572105062b0e53a3699a22a23ad8687305e248f7e4d8894e679167e3b8,9f2462ad3ddf2025b8d3a9250601947576a7008afafc19a8ff8e4fab30709273
d007,ab,a,6.835,1,1,1,1,0,ee57da4b5647be23188c39aa62c095eb7da60f554c5a237e6c6d09e0e5df78bf,18140fd72cb4fccb1c17c83b5781f19abae8038bb3b94be9380c69dd2b4dc093
d008,ba,b,215.634,1,1,1,1,0,4b221232d0665a2f11e88af8a13b6bcb804177d5fb2269509b4e4b60206904f9,65032379fd7d323b6ec7d415bd006995799d345988cfe3093a61e161c1a0eb8b
d009,ab,b,64.500,1,1,1,1,0,749818df31af63f81a7fdef74194cb5619b8cacfeeeef02f846eab4ecc296468,c2da0a25a5e856097e792372b4df6c188bdc967b87777d91fbbf3ebd910d23bd
d010,ba,b,24.647,1,1,1,1,0,149423ca91811ff352c9e26de742315f1d00688be74029695a83868a1cd60aa3,b1dadd2e09c9ad746b102132fe6526ae7a01b5caad15e1865fc92be71839b114
d011,ab,b,72.793,1,1,1,1,0,03134493be0b6302687c92e9cd07c6d1aa22abbb3c641753f9b5e3363b581a65,554db8a1ac7303e09f80348d8cc0b755d865c74cb896100b6c3b4e2039a68b00
d012,ba,a,3.640,1,1,1,1,0,db373966c0caf9ecd34b04d9823fac889773210eadf0cfb79eb2df06d06fb437,002855bac6f500c23bcd546790ebfe86c52fa9e1138d524ddc7af7227c6eebe5
d013,ab,b,79.793,1,1,1,1,0,75213b674d77329c0e7094292c6c1137c6e98a5d374fc41edd61387e613064d5,80733ad01ab676b6c0d0b546ddcc55d7e7c1e9f81086852084323900b6a91317
d014,ba,b,188.630,1,1,1,1,0,6e31d745df5c925a9445dda1bf81ccfc060f659fe1c487c2c7f4bcb1cf817c1a,c6424e3ef6fd1bb141fcd39121c853d100dfb381421464f435ed55970de52193
d015,ab,b,46.243,1,1,1,1,0,01abf30d664481f51a2187edcd1ec1cac44d9754a02951147d6650b3940da6b4,9a7177a3b6d9e5756dc911249db05eda4646f70e7028ab1f90d22a6ee545affa
d016,ba,a,163.663,1,1,1,1,0,c1c9fcecc58013da8758048a21978221c77e0e6148d360a06fcccc08eb438411,31494a6430b2185f9b50939d1dd230e5ee72de697d786a3c28a36eb83693baaa
d017,ab,b,89.684,1,1,1,1,0,918267a5a590e8dddfff2f60e81915b881b9107d7e8c20235f3776e937b5d66b,f030f0bb29839bfd5b59bd409fa459ea588b18243dd543c29f1353afc335dafa
d018,ba,b,5.122,1,1,1,1,0,b69a8e5b17bed6a5901adf7959eab91042642a10f14da9f627f1e64cee1cd271,58f71ccef7896b7885da1bf3de61c29cf15828b099c6c5b3260d5f3102828dc9
d019,ab,b,57.064,1,1,1,1,0,04697bde8820c9bb2d6698790a4c41dc1166fc55c20c1c8adf0b38a746373196,6556439f0447327609133d128030a6c2fb46d9e66b66c7c05191e2dbe6918c5c
d020,ba,a,146.056,1,1,1,1,0,38d6a822f7d39cad7d692b51b5bf7922d83a1f4114e679a3e618908c5e56ef42,f619ac18c0c91a690eb21aebf98f47476a301a7771d5f5524fc6d9f7a54c3418
d021,ab,b,126.557,1,1,1,1,0,88c5c3b28b193598225ba90a5977a52f2ea6bc86be40bdff64d092f60c82230b,996637f9341cb28fdd4b3bb6fe26511a8d4af1bc68d1a9514dae54d5f041d89f
d022,ba,b,480.226,1,1,1,1,0,2c3109f775dbb747be6658c6bc1dc57b3c7b2473ac7f539516f8d80ddcde6fce,491e189013ad0c45122ad52f1835cabffb738e886ae4b60784dc2c61721996f2
d023,ab,a,28.798,1,1,1,1,0,6059360dcf16f512289228dad9140ca145126e89da0dbf3ee83aeacc3daaa396,fef2c7fbabd76df6ef95406b5b3e97d1f91ca27014eb2e2d8da60813a0176a7d
d024,ba,b,11.312,1,1,1,1,0,476bd65a1bb28580abba80d2c24f770ae3fb4a4ccc2301aae7204d5c2000d5af,0445e30d97bb01ec27c9602629945c1af373a258b311af00d4ddc5dbd263b2d8
d025,ab,b,125.941,1,1,1,1,0,c55ef94b350e3356093c2cffe4e135e37d02f1c10a1315c19cb1311535557efa,432dddfbced27902bf6c34d147976cd5e6b01c2564b051796ce4d1f31155bf83
d026,ba,b,10.822,1,1,1,1,0,b38fe5a360e481ee1e51218c4bee50a41fa301ba9b31c1d03179188fc429c530,3775f343114a3275744f3132cba6cb620fb0dad43369da58c4fcdd559d693123
d027,ab,a,72.242,1,1,1,1,0,dc29915e854237b3d885806e0e7fe3720b092a34d75e9df544ba8c8ebd4bd70b,d097238345f4301854c8e28487e0b83b117e8e58e1a9b5c2fbae9dd0ba708864
d028,ba,a,111.119,1,1,1,1,0,8801f8c0e4154a732d6a352c40e511f809163a910bf3f5a66a968ccb4b3e5d86,58a08cb52008c079502b01d74c48c15fb80bf879dfb5b867d394342446feda07
d029,ab,b,16.514,1,1,1,1,0,f05c7664aeed5c260d49b9fb2e55b437e9530c9ad49eeeeae160e61a3731dd3f,240a07432556cb47ff73e5f54cbbcec144bb74ae0048ebd4b3db235460ee3652
d030,ba,a,2.323,1,1,1,1,0,c97afc29c5d186f8fe1fa1e461e10e0e5ae2ed1de1f309c2821276b012e27b1f,e7cb5d008a2d5bc65fc1fbd8f5bb0fd8c05c697ca32048609226ee2553f6963e
